Movie1,Movie2,Support,Confidence,Lift
Pulp Fiction,The Silence of the Lambs,0.004018215912135012,0.2,3.780253164556962
The Silence of the Lambs,Comedy nights with Kapil,0.002009107956067506,0.25,3.77834008097166
Back to the Future,The Lord of the rings,0.0021430484864720066,0.27118644067796616,3.7773842651151033
Comedy nights with Kapil,inception,0.0021430484864720066,0.37209302325581395,3.774519716885743
The Lord of the Rings: The Fellowship of the Ring,inception,0.0030806321993035093,0.3709677419354839,3.7631048387096775
The Lord of the Rings: The Fellowship of the Ring,The Lion King,0.0021430484864720066,0.25806451612903225,3.7557693516946484
The Intouchables,Billa,0.0030806321993035093,0.359375,3.7525786713286715
Inglourious Basterds,The Godfather: Part II,0.0025448700776855076,0.23456790123456792,3.7500726993946127
Casablanca,The Shawshank Redemption,0.002276989016876507,0.3269230769230769,3.7378372010837553
Pulp Fiction,The Intouchables,0.0021430484864720066,0.4848484848484849,3.735685023610721
The Lord of the rings,Billa,0.004018215912135012,0.35714285714285715,3.7292707292707292
inception,Billa,0.002009107956067506,0.35714285714285715,3.7292707292707292
Interstellar,The Pianist,0.0021430484864720066,0.35555555555555557,3.7283395755305873
The Silence of the Lambs,The Intouchables,0.002009107956067506,0.48387096774193544,3.728153400579247
The Lord of the Rings: The Fellowship of the Ring,The Intouchables,0.002009107956067506,0.48387096774193544,3.728153400579247
inception,Comedy nights with Kapil,0.0021430484864720066,0.2461538461538462,3.727757840536746
The Lord of the Rings: The Fellowship of the Ring,inception,0.0024109295472810074,0.3673469387755102,3.7263753327417923
The Silence of the Lambs,The Lord of the rings,0.0021430484864720066,0.2666666666666667,3.7213707165109042
inception,Comedy nights with Kapil,0.0021430484864720066,0.2461538461538462,3.720211772033635
The Lord of the Rings: The Fellowship of the Ring,inception,0.004420037503348513,0.36666666666666664,3.719474637681159
The Silence of the Lambs,Prision Break,0.002276989016876507,0.2236842105263158,3.7194350017582933
The Lord of the Rings: The Fellowship of the Ring,The Lion King,0.0030806321993035093,0.2555555555555556,3.7192549274420625
The Lord of the rings,Billa,0.0028127511384945084,0.3559322033898305,3.716629133578286
The Silence of the Lambs,The Lord of the rings,0.0021430484864720066,0.2666666666666667,3.714427860696518
The Pianist,inception,0.0025448700776855076,0.3653846153846154,3.7064694816053514
The Pianist,Comedy nights with Kapil,0.0028127511384945084,0.2441860465116279,3.697957450823152
The Lord of the Rings: The Fellowship of the Ring,Comedy nights with Kapil,0.0038842753817305118,0.24369747899159666,3.6905585763717257
The Pianist,Comedy nights with Kapil,0.0028127511384945084,0.2441860465116279,3.690471706995575
Interstellar,inception,0.002678810608090008,0.3636363636363636,3.6887351778656123
whole wheat Star Wars: Episode V - The Empire Strikes Back,The Lord of the Rings: The Fellowship of the Ring,0.002009107956067506,0.22058823529411764,3.684366363995262
Billa,The Lord of the Rings: The Fellowship of the Ring,0.002009107956067506,0.22058823529411764,3.684366363995262
The Intouchables,Comedy nights with Kapil,0.0024109295472810074,0.24324324324324328,3.6836796228276967
Prision Break,Comedy nights with Kapil,0.003616394320921511,0.24324324324324326,3.6836796228276962
The Lord of the Rings: The Fellowship of the Ring,Comedy nights with Kapil,0.0038842753817305118,0.24369747899159666,3.683087810022795
The Lion King,Comedy nights with Kapil,0.002276989016876507,0.24285714285714285,3.677832512315271
The Intouchables,Comedy nights with Kapil,0.0024109295472810074,0.24324324324324328,3.6762227814859405
Prision Break,Comedy nights with Kapil,0.003616394320921511,0.24324324324324326,3.67622278148594
Comedy nights with Kapil,Billa,0.0025448700776855076,0.35185185185185186,3.674022274022274
Seven Samurai,Comedy nights with Kapil,0.0021430484864720066,0.24242424242424246,3.671276661134674
The Lion King,Comedy nights with Kapil,0.002276989016876507,0.24285714285714285,3.670387507229613
Seven Samurai,Comedy nights with Kapil,0.0021430484864720066,0.24242424242424246,3.6638449270028226
Comedy nights with Kapil,The Lord of the Rings: The Fellowship of the Ring,0.0021430484864720066,0.64,3.6614865900383147
Back to the Future,The Lord of the rings,0.0032145727297080095,0.2608695652173913,3.6404713531084925
Billa,The Lion King,0.002009107956067506,0.25,3.638401559454191
Back to the Future,The Lord of the rings,0.0032145727297080095,0.2608695652173913,3.633679428942245
Comedy nights with Kapil,Billa,0.0021430484864720066,0.3478260869565218,3.6319854058984498
The Lord of the Rings: The Return of the King,The Lord of the Rings: The Fellowship of the Ring,0.002009107956067506,0.21739130434782608,3.6309697500243163
Comedy nights with Kapil,The Lord of the Rings: The Fellowship of the Ring,0.0030806321993035093,0.2169811320754717,3.624118863703516
